id,intent,spelling,link,0,1,2,is_attack
230,0,0.864664717,0,0.954805434,0.022632712,0.022561891,0
231,0.550671036,0.864664717,0,0.92552793,0.037306193,0.037165888,1
232,0.550671036,0,0,0.88549149,0.057354428,0.057154067,0
233,0.550671036,0.632120559,0,0.943818688,0.028150935,0.028030384,1
234,0.909282047,0.864664717,0,0.915916324,0.042110544,0.041973095,0
235,0.550671036,0.77686984,0,0.925455153,0.037346426,0.037198491,1
236,0.959237796,0.77686984,0,0.960480034,0.019790415,0.019729493,1
237,0.864664717,0.864664717,0,0.94287467,0.028608823,0.028516453,1
238,0,0.77686984,0,0.948419631,0.02583841,0.02574192,1
239,0.864664717,0.77686984,0,0.948189974,0.025942434,0.025867572,1
240,0,0.632120559,0,0.925392807,0.03738552,0.037221622,0
241,0.550671036,0.632120559,0,0.925438523,0.037353158,0.037208334,1
242,0.98772266,0.632120559,0,0.957771897,0.021149609,0.021078523,1
243,0,0.917915001,0,0.954807281,0.022631228,0.022561522,0
244,0,0.39346934,0,0.932401359,0.03384991,0.033748757,1
245,0,0,0,0.962543845,0.018752757,0.018703407,1
246,0.798103482,0,0,0.932907522,0.03361281,0.033479609,1
247,0.864664717,0.39346934,0,0.932889402,0.033617582,0.033493012,1
248,0.864664717,0.39346934,0,0.932776868,0.033676341,0.033546783,1
249,0,0.39346934,0,0.938710153,0.03069222,0.030597629,0
250,0,0.77686984,0,0.903868258,0.048139062,0.047992662,1
251,0.864664717,0.39346934,0,0.915771008,0.042176638,0.042052358,1
252,0.798103482,0.917915001,0,0.954874933,0.022595363,0.022529749,1
253,0.550671036,0,0,0.916165054,0.042003416,0.041831549,0
254,0.798103482,0.77686984,0,0.94409883,0.028009107,0.027892003,1
255,0.550671036,0.39346934,0,0.943013608,0.028532552,0.028453847,0
256,0.909282047,0.917915001,0,0.932846487,0.033641178,0.033512395,1
257,0.864664717,0.632120559,0,0.955082297,0.022492485,0.022425205,1
258,0,0.77686984,0,0.925526738,0.037307281,0.037165921,1
259,0.864664717,0.864664717,0,0.943941176,0.028083604,0.027975243,0
260,0.959237796,0.77686984,0,0.964504898,0.017777076,0.017717984,1
261,0.550671036,0.39346934,0,0.938980937,0.030566538,0.030452553,1
262,0.864664717,0.39346934,0,0.925384581,0.03738375,0.037231691,0
263,0.909282047,0.39346934,0,0.92543906,0.037352584,0.037208315,1
264,0.550671036,0,0,0.924900413,0.037623528,0.037476052,0
265,0,0.950212932,0.05,0.916048586,0.042059653,0.04189178,0
266,0,0.77686984,0,0.925162971,0.03747372,0.037363276,1
267,0.909282047,0.632120559,0,0.938872576,0.030609036,0.030518362,1
268,0,0.77686984,0,0.955121994,0.022472879,0.022405084,0
269,0.550671036,0,0,0.925473392,0.037341543,0.037185095,0
270,0,0.39346934,0,0.955178857,0.022451639,0.022369497,1
271,0.864664717,0.77686984,0.99,0.960434854,0.019815672,0.019749455,1
272,0.864664717,0.632120559,0,0.93899107,0.030570185,0.03043876,1
273,0.798103482,0.77686984,0,0.925383091,0.037385076,0.037231799,1
274,0.798103482,0.39346934,0,0.902293265,0.04894454,0.048762243,0
